Lần chạy,Seed,Accuracy,Precision,Recall,F1_Score
1,12,0.8674698795180723,0.8163265306122449,0.9523809523809523,0.8791208791208791
2,42,0.7951807228915663,0.7307692307692307,0.926829268292683,0.8172043010752689
3,100,0.8072289156626506,0.8048780487804879,0.8048780487804879,0.8048780487804879
4,2024,0.8554216867469879,0.9142857142857143,0.7804878048780488,0.8421052631578947
5,7,0.9156626506024096,0.926829268292683,0.9047619047619048,0.9156626506024096
6,88,0.8313253012048193,0.8461538461538461,0.8048780487804879,0.825
7,555,0.8313253012048193,0.7872340425531915,0.9024390243902439,0.8409090909090909
8,999,0.891566265060241,0.9210526315789473,0.8536585365853658,0.8860759493670886
9,1234,0.8313253012048193,0.8888888888888888,0.7619047619047619,0.8205128205128205
10,7777,0.8192771084337349,0.8095238095238095,0.8292682926829268,0.8192771084337349
