Lần chạy,Seed,Accuracy,Precision,Recall,F1_Score
1,12,0.891566265060241,0.8666666666666667,0.9285714285714286,0.896551724137931
2,42,0.8072289156626506,0.7551020408163265,0.9024390243902439,0.8222222222222222
3,100,0.8554216867469879,0.8372093023255814,0.8780487804878049,0.8571428571428571
4,2024,0.8795180722891566,0.8780487804878049,0.8780487804878049,0.8780487804878049
5,7,0.8554216867469879,0.8260869565217391,0.9047619047619048,0.8636363636363636
6,88,0.7831325301204819,0.7346938775510204,0.8780487804878049,0.8
7,555,0.8674698795180723,0.8260869565217391,0.926829268292683,0.8735632183908046
8,999,0.7710843373493976,0.7391304347826086,0.8292682926829268,0.7816091954022989
9,1234,0.8554216867469879,0.875,0.8333333333333334,0.8536585365853658
10,7777,0.7710843373493976,0.7894736842105263,0.7317073170731707,0.759493670886076
